transaction_date,anomaly,score,avg_review_score
2025-09-27,0,-0.47217923529691114,4.63
2025-09-28,0,-0.4987211899569145,4.73
2025-09-29,0,-0.45886623751785005,4.64
2025-09-30,0,-0.4319245790069055,4.51
2025-10-01,0,-0.43536469469172345,4.64
2025-10-02,0,-0.44268226499741636,4.41
2025-10-03,0,-0.4339012496885459,4.43
2025-10-04,0,-0.483243465972254,4.52
2025-10-05,0,-0.4967158265450411,4.6
2025-10-06,0,-0.4840943561669838,4.41
2025-10-07,0,-0.48663174835860573,4.68
2025-10-08,0,-0.5851567422792108,3.72
2025-10-09,0,-0.47642029286421583,4.44
2025-10-10,0,-0.46252423353915345,4.48
2025-10-11,0,-0.5113672317579631,4.55
2025-10-12,0,-0.48681252740554687,4.52
2025-10-13,0,-0.4837245458136185,4.43
2025-10-14,0,-0.4659101444578444,4.76
2025-10-15,0,-0.4271093039053451,4.54
2025-10-16,0,-0.46946814992900177,4.76
2025-10-17,0,-0.47367685040473245,4.55
2025-10-18,0,-0.5174700364458433,4.17
2025-10-19,0,-0.520024028128134,4.28
2025-10-20,0,-0.6007626685498851,3.71
2025-10-21,0,-0.5026956151071108,4.37
2025-10-22,0,-0.5032429013983263,4.1
2025-10-23,0,-0.4785066315535281,4.74
2025-10-24,0,-0.4420518089467068,4.62
2025-10-25,0,-0.4719624468660328,4.61
2025-10-26,0,-0.5074086696564817,4.35
2025-10-27,0,-0.4740924525670785,4.24
2025-10-28,0,-0.4575476086803086,4.52
2025-10-29,0,-0.4410227004642983,4.34
2025-10-30,0,-0.4577935235278816,4.21
2025-10-31,0,-0.4391266600535828,4.62
2025-11-01,0,-0.48321873331783427,4.47
2025-11-02,0,-0.49414188199142345,4.55
2025-11-03,0,-0.48524321148276073,4.0
2025-11-04,0,-0.4647875481062145,3.82
2025-11-05,0,-0.6044622491209357,3.49
2025-11-06,0,-0.44835701737720723,4.09
2025-11-07,0,-0.4662982666518804,4.16
2025-11-08,0,-0.48527116654040836,4.6
2025-11-09,0,-0.4995894163411343,4.35
2025-11-10,0,-0.5009082672978129,3.89
2025-11-11,0,-0.45655870151832106,4.21
2025-11-12,0,-0.46519872015363,4.1
2025-11-13,0,-0.4642079324675885,4.49
2025-11-14,0,-0.4655812702289455,4.76
2025-11-15,0,-0.5053551949677383,4.32
2025-11-16,0,-0.4930489283518792,4.54
2025-11-17,0,-0.5487255761905023,3.76
2025-11-18,0,-0.5183356662975425,4.03
2025-11-19,0,-0.4803059508168989,3.87
2025-11-20,0,-0.511557860262585,3.9
2025-11-21,0,-0.5911697379509403,3.68
2025-11-22,0,-0.5991452453430711,3.93
2025-11-23,0,-0.5305143229179858,4.41
2025-11-24,0,-0.4733733403431418,4.23
2025-11-25,0,-0.46926793651103255,3.97
2025-11-26,0,-0.47652039321039863,3.73
2025-11-27,0,-0.4675029654025895,4.16
2025-11-28,0,-0.4806784953487424,3.71
2025-11-29,0,-0.5006696249559915,4.3
2025-11-30,0,-0.5274690621673896,3.97
2025-12-01,0,-0.48946024999884874,4.38
2025-12-02,0,-0.4681386452027552,4.14
2025-12-03,0,-0.49767323125999247,4.05
2025-12-04,0,-0.46483132377392034,3.74
2025-12-05,0,-0.5319967191809538,3.58
2025-12-06,0,-0.5827208458578611,3.77
2025-12-07,0,-0.5281709123544336,3.89
2025-12-08,0,-0.503366754356278,3.73
2025-12-09,0,-0.4400694883956035,4.36
2025-12-10,0,-0.45601648724338595,3.95
2025-12-11,0,-0.5288414071618586,3.88
2025-12-12,0,-0.49272390279789685,4.03
2025-12-13,0,-0.5297149109057389,4.18
2025-12-14,0,-0.5474547491742874,4.16
2025-12-15,0,-0.4842331287650197,4.73
2025-12-16,0,-0.4837856741265652,4.26
2025-12-17,0,-0.48150426737934804,4.65
2025-12-18,0,-0.5570713000374704,3.63
2025-12-19,1,-0.6087632444901963,3.75
2025-12-20,0,-0.5655852075121844,3.85
2025-12-21,1,-0.64146061972527,3.51
2025-12-22,1,-0.6457570057637841,3.41
2025-12-23,0,-0.5529427093283,3.62
2025-12-24,0,-0.4554720513596194,4.24
2025-12-25,0,-0.5933503174019702,3.48
2025-12-26,0,-0.4700181998830787,3.86
2025-12-27,0,-0.5790121770210461,3.81
2025-12-28,0,-0.5209442580160016,3.94
2025-12-29,0,-0.5521386533098622,3.49
2025-12-30,0,-0.4789500484114066,3.83
2025-12-31,0,-0.45071419402354085,4.16
2026-01-01,0,-0.4603692945494119,3.8
2026-01-02,0,-0.514200966809876,3.77
